Member Phone No,ActSpeedDS,ActSpeedUS,ActAvgDaySpontResyncs,ActDSLStability,ActDSLConnType,DSLAMName,LWC,Urbanistion,UBAForecast,EstAttn160Hi,EstAttn160Lo,EstDSSpeedHi,EstDSSpeedLo,EstUSSpeedHi,EstUSSpeedLo,EUBA,BUBA,WVS,LAPRestriction,CabnietisationDate,CabnetisationName,Locality Id,Connector Id,Line_Sharing_Cable_Pair,LWC_Is_Cabinet,BUBA_Coverage_Area,EUBA_Coverage_Area,Baseband_Copper_Capable,ActBBProductType
,,,,,,,,,,,,,,,,,,,,,,,BE24/2,,Y,South Canterbury,,N,BUBA
ASID,,,,,,DSLAM,,,,,,,,,,,,,,,,,M22/1,,N,Otago,DUNEDIN CENT,Y,BUBA
1234567890,,,,,,AA-AAA-DSLAM-00,,,,,,,,,,,,,,,,,TL58/806,,Y,Otago,,N,BUBA
,,,,,,AAA-DSLAM-00,,,,,,,,,,,,,,,,,FF55/64,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,AA-DSLAM-00,,,,,,,,,,,,,,,,,S5/9,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD65/18,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CP79/2,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,S21/4,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AB60/4,,N,South Canterbury,CROMWELL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K21/14,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ER59/1,,Y,Otago,DUNEDIN CENT,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM22/918,,Y,Otago,DUNEDIN CENT,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I24/48,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J23/8,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Q23/19,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DH44/26,,N,South Canterbury,ALEXANDRA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AE19/2,,N,South Canterbury,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FE56/57,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FB64/14,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,H24/3,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FA64/10,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EB62/3,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD67/11,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL82/343,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EB64/15,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,H21/32,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HK47/5,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K14/42,,N,Southland,BALCLUTHA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Feb-56,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD59/59,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HM64/E,,N,Southland,QUEENSTOWN,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD59/70,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD58/61,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD58/61,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,H25/AC,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I25/76,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I25/76,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AP73/1,,Y,Otago,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,D26/A,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL41/615,,Y,Tamaki,REMUERA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GN35/3,34432851,Y,South Canterbury,WANAKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GN35/3,1624128662,Y,South Canterbury,WANAKA,Y,
,,,,,,,,,,,,,,,,,,,,,,,HJ04/6,,Y,South Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AA45/1,,Y,South Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I26/15,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DQ73/1,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FA54/7,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FP41/3,,Y,Otago,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CR78/16,,N,East Coast Bays,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FJ08/1,,N,Marlborough / North Canterbury,RANGIORA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DJ80/2,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GT61/A,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EF80/4,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AF23/2,,Y,South Canterbury,ASHBURTON,Y,BUBA
